id_log,id_produk,id_seller,tanggal,jenis_perubahan,jumlah,stok_sebelum,stok_sesudah,alasan
L001951,P002,U001,2024-01-29,Restock,72,1505,1577,Pembelian supplier
L002559,P002,U001,2024-01-31,Restock,42,1844,1886,Pembelian supplier
L003601,P002,U001,2024-01-31,Penjualan,4,2031,2027,Produk terjual
L004600,P002,U001,2024-01-31,Restock,7,2444,2451,Pembelian supplier
L004502,P005,U001,2024-02-01,Restock,38,3643,3681,Pembelian supplier
L000168,P005,U001,2024-02-04,Restock,61,1964,2025,Pembelian supplier
L001546,P004,U001,2024-02-04,Restock,17,495,512,Pembelian supplier
L002407,P005,U001,2024-02-04,Restock,20,3145,3165,Pembelian supplier
L001820,P002,U001,2024-02-06,Barang Rusak,62,1453,1391,Kerusakan barang
L005333,P002,U001,2024-02-06,Restock,61,2421,2482,Pembelian supplier
L002368,P001,U001,2024-02-06,Restock,32,2807,2839,Pembelian supplier
L000707,P003,U001,2024-02-07,Restock,6,1059,1065,Pembelian supplier
L002099,P003,U001,2024-02-08,Restock,9,1369,1378,Pembelian supplier
L002857,P005,U001,2024-02-09,Penjualan,20,3303,3283,Produk terjual
L005354,P002,U001,2024-02-09,Barang Rusak,33,2508,2475,Kerusakan barang
L002440,P002,U001,2024-02-09,Retur Supplier,40,1799,1839,Pengembalian supplier
L004481,P003,U001,2024-02-10,Restock,77,2529,2606,Pembelian supplier
L001423,P002,U001,2024-02-11,Penyesuaian,63,1311,1248,Audit stok
L001064,P002,U001,2024-02-12,Penjualan,65,988,923,Produk terjual
L003481,P004,U001,2024-02-15,Restock,54,1059,1113,Pembelian supplier
L001636,P004,U001,2024-02-17,Retur Supplier,56,609,665,Pengembalian supplier
L004619,P004,U001,2024-02-18,Penjualan,55,1493,1438,Produk terjual
L001276,P003,U001,2024-02-18,Barang Rusak,50,1036,986,Kerusakan barang
L004970,P001,U001,2024-02-19,Restock,56,3112,3168,Pembelian supplier
L003379,P004,U001,2024-02-19,Penjualan,50,1115,1065,Produk terjual
L001797,P002,U001,2024-02-21,Restock,50,1403,1453,Pembelian supplier
L002732,P004,U001,2024-02-22,Restock,35,1204,1239,Pembelian supplier
L001572,P002,U001,2024-02-24,Penjualan,43,1362,1319,Produk terjual
L001179,P002,U001,2024-02-24,Restock,37,1087,1124,Pembelian supplier
L000525,P003,U001,2024-02-25,Penjualan,70,986,916,Produk terjual
L002523,P005,U001,2024-02-26,Penjualan,20,3152,3132,Produk terjual
L004823,P004,U001,2024-02-26,Restock,46,1479,1525,Pembelian supplier
L003061,P004,U001,2024-02-27,Penjualan,8,973,965,Produk terjual
L001466,P005,U001,2024-02-27,Restock,8,3008,3016,Pembelian supplier
L002687,P001,U001,2024-02-28,Restock,5,2967,2972,Pembelian supplier
L003959,P001,U001,2024-02-28,Restock,42,2783,2825,Pembelian supplier
L004385,P010,U002,2024-03-01,Penjualan,29,767,738,Produk terjual
L001410,P007,U002,2024-03-01,Barang Rusak,20,2973,2953,Kerusakan barang
L002505,P004,U001,2024-03-02,Restock,76,1001,1077,Pembelian supplier
L003193,P008,U002,2024-03-02,Penjualan,61,1937,1876,Produk terjual
L003187,P003,U001,2024-03-02,Restock,61,1756,1817,Pembelian supplier
L003962,P002,U001,2024-03-02,Restock,41,2334,2375,Pembelian supplier
L002710,P002,U001,2024-03-03,Penjualan,78,2137,2059,Produk terjual
L004663,P006,U002,2024-03-03,Restock,71,2965,3036,Pembelian supplier
L004761,P008,U002,2024-03-03,Restock,61,2590,2651,Pembelian supplier
L001349,P006,U002,2024-03-04,Restock,60,1473,1533,Pembelian supplier
L004856,P002,U001,2024-03-06,Penyesuaian,46,2421,2375,Audit stok
L004676,P006,U002,2024-03-06,Restock,77,3048,3125,Pembelian supplier
L004547,P010,U002,2024-03-06,Restock,17,687,704,Pembelian supplier
L005691,P009,U002,2024-03-06,Penjualan,53,4369,4316,Produk terjual
L000725,P006,U002,2024-03-06,Restock,32,1383,1415,Pembelian supplier
L005924,P009,U002,2024-03-06,Restock,24,4428,4452,Pembelian supplier
L001880,P005,U001,2024-03-07,Penjualan,34,3203,3169,Produk terjual
L001327,P010,U002,2024-03-08,Retur Supplier,33,236,269,Pengembalian supplier
L005690,P006,U002,2024-03-09,Penjualan,47,3968,3921,Produk terjual
L003500,P004,U001,2024-03-09,Restock,48,1035,1083,Pembelian supplier
L005788,P006,U002,2024-03-09,Penjualan,30,4001,3971,Produk terjual
L005826,P001,U001,2024-03-10,Penyesuaian,51,3698,3647,Audit stok
L000003,P001,U001,2024-03-11,Restock,65,1395,1460,Pembelian supplier
L002688,P008,U002,2024-03-11,Retur Supplier,53,1939,1992,Pengembalian supplier
L000108,P006,U002,2024-03-12,Retur Supplier,55,1150,1205,Pengembalian supplier
L004207,P008,U002,2024-03-12,Restock,62,2449,2511,Pembelian supplier
L003054,P002,U001,2024-03-13,Penjualan,60,2175,2115,Produk terjual
L004648,P007,U002,2024-03-13,Restock,56,3546,3602,Pembelian supplier
L000655,P002,U001,2024-03-13,Restock,5,739,744,Pembelian supplier
L003543,P005,U001,2024-03-13,Restock,2,3428,3430,Pembelian supplier
L003446,P006,U002,2024-03-13,Restock,26,2763,2789,Pembelian supplier
L004783,P009,U002,2024-03-13,Kadaluarsa,41,3967,3926,Melewati masa jual
L004639,P008,U002,2024-03-14,Kadaluarsa,43,2506,2463,Melewati masa jual
L005022,P002,U001,2024-03-14,Restock,18,2355,2373,Pembelian supplier
L004214,P007,U002,2024-03-14,Restock,66,3407,3473,Pembelian supplier
L001961,P007,U002,2024-03-15,Barang Rusak,51,3329,3278,Kerusakan barang
L002055,P002,U001,2024-03-15,Restock,43,1606,1649,Pembelian supplier
L002280,P009,U002,2024-03-15,Penyesuaian,69,3539,3470,Audit stok
L004299,P007,U002,2024-03-16,Penyesuaian,37,3588,3551,Audit stok
L003850,P003,U001,2024-03-16,Restock,40,2108,2148,Pembelian supplier
L005498,P008,U002,2024-03-16,Retur Supplier,70,3272,3342,Pengembalian supplier
L002798,P010,U002,2024-03-16,Penjualan,48,274,226,Produk terjual
L001677,P002,U001,2024-03-17,Penjualan,39,1335,1296,Produk terjual
L005636,P005,U001,2024-03-17,Restock,3,3751,3754,Pembelian supplier
L003711,P008,U002,2024-03-18,Restock,35,2170,2205,Pembelian supplier
L000530,P004,U001,2024-03-18,Penjualan,7,385,378,Produk terjual
L003180,P007,U002,2024-03-19,Penjualan,20,3218,3198,Produk terjual
L005645,P007,U002,2024-03-19,Penjualan,35,3593,3558,Produk terjual
L002938,P007,U002,2024-03-22,Barang Rusak,48,3283,3235,Kerusakan barang
L002705,P003,U001,2024-03-22,Restock,54,1576,1630,Pembelian supplier
L003427,P010,U002,2024-03-22,Restock,39,456,495,Pembelian supplier
L002851,P001,U001,2024-03-23,Retur Supplier,68,2856,2924,Pengembalian supplier
L001248,P009,U002,2024-03-24,Restock,40,3257,3297,Pembelian supplier
L000256,P003,U001,2024-03-26,Penjualan,15,1055,1040,Produk terjual
L005836,P004,U001,2024-03-26,Penyesuaian,39,1788,1749,Audit stok
L003555,P004,U001,2024-03-26,Penjualan,60,1107,1047,Produk terjual
L001431,P005,U001,2024-03-27,Penjualan,48,3017,2969,Produk terjual
L004019,P007,U002,2024-03-27,Penyesuaian,49,3410,3361,Audit stok
L005755,P007,U002,2024-03-28,Retur Supplier,50,3552,3602,Pengembalian supplier
L002923,P003,U001,2024-03-28,Restock,79,1705,1784,Pembelian supplier
L005841,P006,U002,2024-03-29,Restock,52,3958,4010,Pembelian supplier
L002881,P004,U001,2024-03-29,Penjualan,22,1022,1000,Produk terjual
L003778,P005,U001,2024-03-29,Restock,6,3437,3443,Pembelian supplier
L003163,P002,U001,2024-03-30,Penjualan,45,2199,2154,Produk terjual
L002479,P008,U002,2024-03-30,Restock,3,2017,2020,Pembelian supplier
L000271,P008,U002,2024-03-31,Restock,76,1780,1856,Pembelian supplier
L001098,P006,U002,2024-04-01,Restock,71,1624,1695,Pembelian supplier
L003777,P002,U001,2024-04-01,Restock,43,2104,2147,Pembelian supplier
L001543,P004,U001,2024-04-01,Penyesuaian,65,560,495,Audit stok
L004053,P009,U002,2024-04-02,Restock,75,3867,3942,Pembelian supplier
L002332,P005,U001,2024-04-03,Barang Rusak,25,3152,3127,Kerusakan barang
L002398,P008,U002,2024-04-05,Penjualan,61,1972,1911,Produk terjual
L003899,P007,U002,2024-04-05,Barang Rusak,63,3485,3422,Kerusakan barang
L004258,P008,U002,2024-04-05,Restock,31,2586,2617,Pembelian supplier
L003707,P007,U002,2024-04-05,Penjualan,10,3392,3382,Produk terjual
L000762,P004,U001,2024-04-06,Restock,22,231,253,Pembelian supplier
L000891,P006,U002,2024-04-06,Barang Rusak,32,1526,1494,Kerusakan barang
L005508,P010,U002,2024-04-06,Restock,51,708,759,Pembelian supplier
L005745,P008,U002,2024-04-07,Restock,77,3769,3846,Pembelian supplier
L004946,P003,U001,2024-04-08,Penjualan,69,2459,2390,Produk terjual
L003019,P009,U002,2024-04-08,Barang Rusak,17,3678,3661,Kerusakan barang
L000741,P002,U001,2024-04-08,Penjualan,53,658,605,Produk terjual
L003560,P005,U001,2024-04-09,Penjualan,72,3430,3358,Produk terjual
L000770,P009,U002,2024-04-09,Penyesuaian,46,3053,3007,Audit stok
L004307,P005,U001,2024-04-09,Restock,16,3430,3446,Pembelian supplier
L003969,P005,U001,2024-04-09,Restock,1,3532,3533,Pembelian supplier
L004253,P003,U001,2024-04-10,Retur Supplier,71,2289,2360,Pengembalian supplier
L003414,P010,U002,2024-04-10,Penyesuaian,47,440,393,Audit stok
L002845,P006,U002,2024-04-10,Restock,12,2364,2376,Pembelian supplier
L001691,P010,U002,2024-04-10,Restock,5,443,448,Pembelian supplier
L003906,P008,U002,2024-04-10,Retur Supplier,71,2311,2382,Pengembalian supplier
L001685,P002,U001,2024-04-11,Restock,45,1296,1341,Pembelian supplier
L000894,P003,U001,2024-04-12,Restock,59,1165,1224,Pembelian supplier
L000918,P001,U001,2024-04-12,Restock,22,2146,2168,Pembelian supplier
L004625,P006,U002,2024-04-12,Restock,63,2902,2965,Pembelian supplier
L003280,P010,U002,2024-04-12,Penjualan,57,369,312,Produk terjual
L003990,P007,U002,2024-04-12,Restock,17,3393,3410,Pembelian supplier
L000430,P005,U001,2024-04-12,Restock,27,2249,2276,Pembelian supplier
L000105,P002,U001,2024-04-13,Penjualan,79,1039,960,Produk terjual
L005166,P009,U002,2024-04-13,Penjualan,72,4103,4031,Produk terjual
L000899,P010,U002,2024-04-14,Penjualan,22,436,414,Produk terjual
L005529,P004,U001,2024-04-14,Restock,68,1515,1583,Pembelian supplier
L003758,P009,U002,2024-04-15,Penjualan,35,3814,3779,Produk terjual
L005008,P009,U002,2024-04-16,Restock,61,3870,3931,Pembelian supplier
L002427,P003,U001,2024-04-17,Restock,40,1400,1440,Pembelian supplier
L003675,P010,U002,2024-04-17,Penjualan,41,587,546,Produk terjual
L005096,P005,U001,2024-04-17,Penjualan,71,3633,3562,Produk terjual
L005766,P010,U002,2024-04-17,Restock,44,924,968,Pembelian supplier
L004596,P009,U002,2024-04-18,Penyesuaian,80,3949,3869,Audit stok
L003613,P009,U002,2024-04-18,Penjualan,47,3952,3905,Produk terjual
L003256,P008,U002,2024-04-19,Restock,38,2019,2057,Pembelian supplier
L002847,P005,U001,2024-04-19,Restock,47,3256,3303,Pembelian supplier
L004423,P001,U001,2024-04-19,Penjualan,74,2940,2866,Produk terjual
L004549,P001,U001,2024-04-20,Barang Rusak,52,2873,2821,Kerusakan barang
L003701,P003,U001,2024-04-21,Restock,68,1973,2041,Pembelian supplier
L002590,P002,U001,2024-04-21,Restock,29,1945,1974,Pembelian supplier
L005485,P010,U002,2024-04-22,Restock,16,764,780,Pembelian supplier
L000049,P005,U001,2024-04-22,Restock,12,1852,1864,Pembelian supplier
L004331,P004,U001,2024-04-22,Penjualan,63,1279,1216,Produk terjual
L002318,P004,U001,2024-04-23,Restock,68,713,781,Pembelian supplier
L001610,P006,U002,2024-04-24,Restock,34,1790,1824,Pembelian supplier
L004017,P006,U002,2024-04-24,Penjualan,14,2921,2907,Produk terjual
L004756,P010,U002,2024-04-24,Barang Rusak,24,794,770,Kerusakan barang
L002324,P003,U001,2024-04-25,Restock,37,1363,1400,Pembelian supplier
L003705,P005,U001,2024-04-25,Barang Rusak,23,3412,3389,Kerusakan barang
L001767,P003,U001,2024-04-25,Restock,61,1176,1237,Pembelian supplier
L001453,P002,U001,2024-04-26,Penjualan,52,1248,1196,Produk terjual
L001716,P007,U002,2024-04-26,Restock,60,3122,3182,Pembelian supplier
L002506,P010,U002,2024-04-26,Penyesuaian,70,333,263,Audit stok
L002664,P008,U002,2024-04-27,Penjualan,16,1955,1939,Produk terjual
L000366,P008,U002,2024-04-27,Restock,43,1793,1836,Pembelian supplier
L002591,P001,U001,2024-04-27,Penjualan,35,2947,2912,Produk terjual
L001159,P006,U002,2024-04-28,Barang Rusak,46,1739,1693,Kerusakan barang
L001525,P009,U002,2024-04-29,Penjualan,15,3295,3280,Produk terjual
L005326,P006,U002,2024-04-30,Penyesuaian,52,3955,3903,Audit stok
L005289,P008,U002,2024-04-30,Penjualan,48,2969,2921,Produk terjual
L003304,P009,U002,2024-04-30,Penyesuaian,16,3925,3909,Audit stok
L001294,P008,U002,2024-04-30,Restock,53,1848,1901,Pembelian supplier
L001001,P002,U001,2024-04-30,Restock,72,841,913,Pembelian supplier
L005067,P003,U001,2024-05-01,Restock,68,2412,2480,Pembelian supplier
L003091,P004,U001,2024-05-03,Penjualan,67,965,898,Produk terjual
L004811,P010,U002,2024-05-03,Kadaluarsa,75,780,705,Melewati masa jual
L000017,P008,U002,2024-05-05,Restock,35,1701,1736,Pembelian supplier
L002061,P010,U002,2024-05-05,Penjualan,4,331,327,Produk terjual
L005440,P009,U002,2024-05-06,Retur Supplier,42,4225,4267,Pengembalian supplier
L001302,P009,U002,2024-05-06,Retur Supplier,2,3202,3204,Pengembalian supplier
L003377,P004,U001,2024-05-08,Retur Supplier,73,1042,1115,Pengembalian supplier
L005689,P008,U002,2024-05-09,Restock,69,3700,3769,Pembelian supplier
L000040,P002,U001,2024-05-09,Restock,5,1100,1105,Pembelian supplier
L004558,P003,U001,2024-05-09,Penjualan,8,2731,2723,Produk terjual
L000766,P010,U002,2024-05-10,Penjualan,79,566,487,Produk terjual
L003312,P003,U001,2024-05-10,Restock,22,2008,2030,Pembelian supplier
L003892,P004,U001,2024-05-11,Penjualan,38,1259,1221,Produk terjual
L000434,P002,U001,2024-05-11,Penjualan,54,830,776,Produk terjual
L001941,P004,U001,2024-05-12,Restock,77,823,900,Pembelian supplier
L000727,P010,U002,2024-05-12,Penyesuaian,54,620,566,Audit stok
L005245,P001,U001,2024-05-13,Restock,71,3224,3295,Pembelian supplier
L002169,P003,U001,2024-05-14,Retur Supplier,1,1428,1429,Pengembalian supplier
L004489,P006,U002,2024-05-14,Penyesuaian,77,2967,2890,Audit stok
L002874,P008,U002,2024-05-14,Penyesuaian,73,2026,1953,Audit stok
L001374,P009,U002,2024-05-14,Restock,67,3204,3271,Pembelian supplier
L003454,P001,U001,2024-05-15,Penjualan,45,2929,2884,Produk terjual
L002680,P005,U001,2024-05-15,Restock,15,3123,3138,Pembelian supplier
L004876,P008,U002,2024-05-16,Restock,41,2718,2759,Pembelian supplier
L000744,P004,U001,2024-05-16,Barang Rusak,17,248,231,Kerusakan barang
L002118,P007,U002,2024-05-17,Penyesuaian,77,3344,3267,Audit stok
L004390,P001,U001,2024-05-18,Restock,10,2930,2940,Pembelian supplier
L005177,P008,U002,2024-05-20,Restock,22,2921,2943,Pembelian supplier
L000059,P010,U002,2024-05-21,Restock,54,694,748,Pembelian supplier
L005726,P007,U002,2024-05-21,Penjualan,48,3558,3510,Produk terjual
L001396,P004,U001,2024-05-22,Restock,45,507,552,Pembelian supplier
L003094,P010,U002,2024-05-22,Restock,71,406,477,Pembelian supplier
L003881,P007,U002,2024-05-22,Restock,6,3479,3485,Pembelian supplier
L005257,P006,U002,2024-05-23,Restock,77,3729,3806,Pembelian supplier
L003817,P007,U002,2024-05-23,Penjualan,31,3534,3503,Produk terjual
L004387,P009,U002,2024-05-24,Restock,34,3801,3835,Pembelian supplier
L001639,P003,U001,2024-05-24,Kadaluarsa,2,1281,1279,Melewati masa jual
L003751,P002,U001,2024-05-24,Restock,34,2133,2167,Pembelian supplier
L004088,P004,U001,2024-05-24,Penjualan,8,1359,1351,Produk terjual
L002804,P007,U002,2024-05-25,Penjualan,67,3338,3271,Produk terjual
L001720,P009,U002,2024-05-26,Restock,8,3236,3244,Pembelian supplier
L003717,P004,U001,2024-05-26,Restock,1,970,971,Pembelian supplier
L003386,P009,U002,2024-05-27,Restock,70,3914,3984,Pembelian supplier
L005773,P008,U002,2024-05-29,Restock,72,3846,3918,Pembelian supplier
L002983,P007,U002,2024-05-30,Restock,56,3192,3248,Pembelian supplier
L000382,P008,U002,2024-05-30,Penjualan,44,1836,1792,Produk terjual
L003954,P009,U002,2024-05-30,Penjualan,27,3919,3892,Produk terjual
L000531,P009,U002,2024-05-30,Penjualan,30,2864,2834,Produk terjual
L005908,P007,U002,2024-05-30,Restock,46,3653,3699,Pembelian supplier
L001479,P005,U001,2024-06-02,Penyesuaian,33,3016,2983,Audit stok
L004813,P007,U002,2024-06-02,Restock,76,3664,3740,Pembelian supplier
L004358,P005,U001,2024-06-02,Restock,34,3516,3550,Pembelian supplier
L004843,P010,U002,2024-06-06,Restock,65,705,770,Pembelian supplier
L004628,P004,U001,2024-06-07,Restock,49,1438,1487,Pembelian supplier
L002681,P004,U001,2024-06-07,Retur Supplier,48,1212,1260,Pengembalian supplier
L000064,P005,U001,2024-06-08,Restock,65,1864,1929,Pembelian supplier
L002008,P003,U001,2024-06-09,Restock,72,1331,1403,Pembelian supplier
L000304,P006,U002,2024-06-10,Restock,57,1191,1248,Pembelian supplier
L004987,P002,U001,2024-06-10,Restock,65,2290,2355,Pembelian supplier
L005194,P009,U002,2024-06-11,Restock,20,4031,4051,Pembelian supplier
L001251,P009,U002,2024-06-12,Penjualan,77,3297,3220,Produk terjual
L005661,P008,U002,2024-06-12,Restock,78,3618,3696,Pembelian supplier
L002856,P001,U001,2024-06-14,Penjualan,54,2924,2870,Produk terjual
L000968,P006,U002,2024-06-17,Restock,35,1550,1585,Pembelian supplier
L001117,P004,U001,2024-06-18,Penjualan,1,459,458,Produk terjual
L005269,P006,U002,2024-06-18,Restock,71,3838,3909,Pembelian supplier
L003028,P004,U001,2024-06-18,Penjualan,45,1018,973,Produk terjual
L001121,P010,U002,2024-06-19,Restock,62,390,452,Pembelian supplier
L004442,P002,U001,2024-06-19,Restock,13,2480,2493,Pembelian supplier
L004710,P003,U001,2024-06-19,Kadaluarsa,68,2653,2585,Melewati masa jual
L000369,P001,U001,2024-06-20,Restock,28,1687,1715,Pembelian supplier
L000932,P006,U002,2024-06-20,Barang Rusak,21,1494,1473,Kerusakan barang
L003789,P001,U001,2024-06-20,Penjualan,16,2805,2789,Produk terjual
L001147,P002,U001,2024-06-20,Restock,30,985,1015,Pembelian supplier
L005797,P005,U001,2024-06-21,Barang Rusak,74,3648,3574,Kerusakan barang
L001566,P004,U001,2024-06-22,Restock,37,572,609,Pembelian supplier
L001184,P008,U002,2024-06-23,Retur Supplier,51,1786,1837,Pengembalian supplier
L005474,P006,U002,2024-06-24,Restock,32,3805,3837,Pembelian supplier
L005641,P002,U001,2024-06-24,Restock,38,2429,2467,Pembelian supplier
L005408,P008,U002,2024-06-26,Retur Supplier,48,3114,3162,Pengembalian supplier
L000849,P007,U002,2024-06-27,Restock,59,2914,2973,Pembelian supplier
L001617,P007,U002,2024-06-28,Restock,60,3030,3090,Pembelian supplier
L001815,P004,U001,2024-06-28,Penyesuaian,39,747,708,Audit stok
L004356,P004,U001,2024-06-29,Restock,69,1282,1351,Pembelian supplier
L003873,P009,U002,2024-06-30,Restock,79,3756,3835,Pembelian supplier
L002276,P003,U001,2024-07-01,Penjualan,64,1427,1363,Produk terjual
L005420,P007,U002,2024-07-01,Restock,19,3585,3604,Pembelian supplier
L002411,P006,U002,2024-07-01,Penjualan,23,2234,2211,Produk terjual
L000289,P010,U002,2024-07-01,Penjualan,72,826,754,Produk terjual
L005285,P002,U001,2024-07-02,Penjualan,32,2451,2419,Produk terjual
L001836,P010,U002,2024-07-03,Restock,55,417,472,Pembelian supplier
L000033,P004,U001,2024-07-03,Restock,69,626,695,Pembelian supplier
L003404,P001,U001,2024-07-03,Restock,7,2894,2901,Pembelian supplier
L004182,P003,U001,2024-07-04,Restock,51,2120,2171,Pembelian supplier
L003551,P002,U001,2024-07-04,Penjualan,75,2106,2031,Produk terjual
L004631,P007,U002,2024-07-04,Barang Rusak,74,3620,3546,Kerusakan barang
L005528,P005,U001,2024-07-05,Restock,49,3723,3772,Pembelian supplier
L004531,P002,U001,2024-07-06,Penjualan,46,2490,2444,Produk terjual
L001040,P008,U002,2024-07-07,Restock,30,1826,1856,Pembelian supplier
L003935,P007,U002,2024-07-08,Penjualan,49,3428,3379,Produk terjual
L005294,P003,U001,2024-07-08,Restock,1,2630,2631,Pembelian supplier
L003242,P005,U001,2024-07-09,Penjualan,47,3395,3348,Produk terjual
L003022,P010,U002,2024-07-09,Restock,78,168,246,Pembelian supplier
L000038,P008,U002,2024-07-10,Restock,76,1736,1812,Pembelian supplier
L002487,P001,U001,2024-07-11,Penjualan,53,2965,2912,Produk terjual
L004381,P009,U002,2024-07-11,Restock,20,3781,3801,Pembelian supplier
L003782,P009,U002,2024-07-12,Penjualan,34,3779,3745,Produk terjual
L003554,P009,U002,2024-07-12,Kadaluarsa,49,4077,4028,Melewati masa jual
L002592,P010,U002,2024-07-13,Restock,36,270,306,Pembelian supplier
L002967,P003,U001,2024-07-13,Retur Supplier,19,1784,1803,Pengembalian supplier
L005477,P006,U002,2024-07-13,Restock,24,3837,3861,Pembelian supplier
L002936,P002,U001,2024-07-13,Penyesuaian,12,2032,2020,Audit stok
L001304,P007,U002,2024-07-14,Penjualan,79,3045,2966,Produk terjual
L003544,P013,U003,2024-07-15,Penjualan,49,527,478,Produk terjual
L004794,P005,U001,2024-07-15,Penyesuaian,49,3773,3724,Audit stok
L003927,P014,U003,2024-07-15,Penyesuaian,45,1328,1283,Audit stok
L000191,P002,U001,2024-07-15,Kadaluarsa,74,979,905,Melewati masa jual
L005244,P012,U003,2024-07-16,Retur Supplier,28,4740,4768,Pengembalian supplier
L004791,P008,U002,2024-07-16,Restock,55,2651,2706,Pembelian supplier
L004659,P010,U002,2024-07-16,Restock,78,704,782,Pembelian supplier
L000738,P014,U003,2024-07-16,Penyesuaian,40,581,541,Audit stok
L000072,P004,U001,2024-07-17,Restock,6,622,628,Pembelian supplier
L003891,P014,U003,2024-07-18,Penjualan,21,1283,1262,Produk terjual
L000986,P010,U002,2024-07-18,Restock,54,298,352,Pembelian supplier
L000673,P004,U001,2024-07-18,Penjualan,36,284,248,Produk terjual
L000813,P014,U003,2024-07-18,Restock,38,505,543,Pembelian supplier
L000134,P006,U002,2024-07-19,Retur Supplier,4,1205,1209,Pengembalian supplier
L000982,P013,U003,2024-07-20,Penjualan,20,636,616,Produk terjual
L005880,P011,U003,2024-07-20,Restock,50,2989,3039,Pembelian supplier
L002972,P014,U003,2024-07-20,Restock,45,1052,1097,Pembelian supplier
L004008,P005,U001,2024-07-21,Penjualan,68,3533,3465,Produk terjual
L002291,P015,U003,2024-07-21,Penjualan,43,1657,1614,Produk terjual
L003157,P015,U003,2024-07-21,Restock,3,1831,1834,Pembelian supplier
L004695,P013,U003,2024-07-23,Barang Rusak,78,654,576,Kerusakan barang
L004952,P011,U003,2024-07-23,Retur Supplier,75,2797,2872,Pengembalian supplier
L005430,P003,U001,2024-07-23,Restock,51,2774,2825,Pembelian supplier
L001872,P013,U003,2024-07-23,Penjualan,79,867,788,Produk terjual
L005340,P011,U003,2024-07-24,Restock,27,2918,2945,Pembelian supplier
L000996,P002,U001,2024-07-24,Retur Supplier,69,772,841,Pengembalian supplier
L001213,P005,U001,2024-07-25,Barang Rusak,9,2911,2902,Kerusakan barang
L002519,P012,U003,2024-07-25,Barang Rusak,73,3797,3724,Kerusakan barang
L005107,P009,U002,2024-07-25,Retur Supplier,75,4011,4086,Pengembalian supplier
L004539,P005,U001,2024-07-25,Kadaluarsa,71,3746,3675,Melewati masa jual
L001497,P006,U002,2024-07-26,Penyesuaian,19,1742,1723,Audit stok
L002228,P011,U003,2024-07-26,Restock,11,2243,2254,Pembelian supplier
L000945,P002,U001,2024-07-27,Restock,44,662,706,Pembelian supplier
L003538,P012,U003,2024-07-27,Restock,43,3892,3935,Pembelian supplier
L003929,P005,U001,2024-07-27,Restock,36,3508,3544,Pembelian supplier
L003938,P007,U002,2024-07-28,Restock,14,3379,3393,Pembelian supplier
L005032,P011,U003,2024-07-28,Restock,28,2850,2878,Pembelian supplier
L000585,P004,U001,2024-07-28,Restock,10,274,284,Pembelian supplier
L000623,P003,U001,2024-07-29,Restock,66,855,921,Pembelian supplier
L004251,P002,U001,2024-07-29,Restock,51,2384,2435,Pembelian supplier
L003723,P010,U002,2024-07-29,Restock,39,493,532,Pembelian supplier
L005190,P013,U003,2024-07-29,Penyesuaian,28,714,686,Audit stok
L003251,P005,U001,2024-07-29,Restock,16,3348,3364,Pembelian supplier
L001540,P014,U003,2024-07-29,Penyesuaian,32,612,580,Audit stok
L001193,P012,U003,2024-07-30,Restock,75,3302,3377,Pembelian supplier
L001668,P001,U001,2024-07-31,Restock,64,2405,2469,Pembelian supplier
L002760,P013,U003,2024-07-31,Penjualan,6,1066,1060,Produk terjual
L000747,P007,U002,2024-07-31,Restock,75,2746,2821,Pembelian supplier
