id_transaksi,id_seller,id_produk,tanggal,jam_transaksi,jenis_transaksi,kategori,qty,harga_satuan,total_harga,metode_pembayaran,event,diskon,status_transaksi
T000079,U003,P014,2026-04-26,18:11,Pemasukan,Frozen Food,2,12000,24000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000080,U005,P024,2026-06-11,19:37,Pemasukan,Jasa Laundry,7,7000,49000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000081,U004,P019,2025-06-07,11:01,Pemasukan,Minuman,4,22000,88000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000082,U002,P008,2026-02-25,11:56,Pemasukan,Sembako,6,16000,96000,QRIS,Ramadan,Harga Normal,Berhasil
T000083,U005,P021,2025-08-15,19:26,Pemasukan,Laundry,4,12000,48000,Transfer,Tidak Ada Event,Harga Normal,Berhasil
T000084,U004,P019,2026-07-24,18:01,Pemasukan,Minuman,4,22000,88000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000085,U002,P010,2025-11-18,14:35,Pemasukan,Minuman,3,2500,7500,QRIS,Tidak Ada Event,Diskon 15%,Berhasil
T000086,U003,P014,2025-07-10,16:16,Pemasukan,Frozen Food,3,12000,36000,Transfer,Tidak Ada Event,Harga Normal,Berhasil
T000087,U001,P002,2025-01-23,23:30,Pemasukan,Minuman,2,15000,30000,Cash,Tidak Ada Event,Diskon 15%,Berhasil
T000088,U005,P021,2025-11-17,12:14,Pemasukan,Laundry,4,12000,48000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000089,U005,P023,2025-06-10,08:35,Pemasukan,Laundry,1,15000,15000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000090,U004,P016,2025-01-14,13:30,Pemasukan,Bakery,3,12000,36000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000091,U004,P016,2025-01-25,13:04,Pemasukan,Bakery,4,12000,48000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000092,U002,P006,2025-11-13,08:35,Pemasukan,Sembako,4,75000,300000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000093,U002,P009,2026-04-19,11:55,Pemasukan,Makanan,4,3500,14000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000094,U005,P025,2025-04-03,11:40,Pemasukan,Jasa Laundry,2,12000,24000,Cash,Lebaran,Harga Normal,Berhasil
T000095,U002,P010,2025-02-19,09:00,Pemasukan,Minuman,1,2500,2500,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000096,U003,P012,2024-08-17,16:44,Pemasukan,Makanan,3,18000,54000,QRIS,Tidak Ada Event,Diskon 5%,Berhasil
T000097,U003,P015,2026-09-29,18:07,Pemasukan,Frozen Food,2,18000,36000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000098,U002,P006,2024-07-25,19:19,Pemasukan,Sembako,3,75000,225000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000099,U001,P003,2026-08-26,20:32,Pemasukan,Minuman,4,20000,80000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000100,U001,P003,2026-06-12,18:05,Pemasukan,Minuman,3,20000,60000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000101,U001,P005,2025-07-14,19:30,Pemasukan,Snack,1,12000,12000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000102,U005,P024,2026-04-23,15:22,Pemasukan,Jasa Laundry,2,7000,14000,QRIS,Tidak Ada Event,Diskon 5%,Berhasil
T000103,U002,P009,2026-01-05,11:42,Pengeluaran,Makanan,4,3500,14000,Transfer,Tidak Ada Event,Harga Normal,Berhasil
T000104,U004,P018,2024-12-30,11:07,Pengeluaran,Bakery,3,15000,45000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000105,U006,P029,2026-11-07,10:12,Pemasukan,Fashion,2,45000,90000,Cash,Tidak Ada Event,Diskon 15%,Berhasil
T000106,U006,P026,2026-07-27,14:35,Pemasukan,Fashion,1,85000,85000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000107,U004,P016,2025-02-02,17:10,Pemasukan,Bakery,2,12000,24000,QRIS,2.2 Sale,Harga Normal,Berhasil
T000108,U001,P001,2025-04-14,18:41,Pemasukan,Minuman,4,18000,72000,Cash,Tidak Ada Event,Diskon 10%,Berhasil
T000109,U005,P024,2025-11-07,15:15,Pemasukan,Jasa Laundry,8,7000,56000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000110,U005,P022,2026-07-06,12:49,Pemasukan,Laundry,2,10000,20000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000111,U003,P011,2026-11-02,16:53,Pemasukan,Makanan,3,20000,60000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000112,U004,P019,2026-04-05,11:35,Pemasukan,Minuman,3,22000,66000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000113,U002,P010,2025-07-03,10:54,Pemasukan,Minuman,4,2500,10000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000114,U004,P019,2026-09-23,16:50,Pemasukan,Minuman,4,22000,88000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000115,U002,P010,2026-12-24,20:06,Pemasukan,Minuman,3,2500,7500,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000116,U004,P017,2024-10-16,16:09,Pemasukan,Bakery,4,8000,32000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000117,U006,P026,2026-06-12,20:54,Pemasukan,Fashion,2,85000,170000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000118,U004,P016,2026-04-08,09:40,Pemasukan,Bakery,1,12000,12000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000119,U001,P001,2026-06-16,21:10,Pemasukan,Minuman,1,18000,18000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000120,U001,P003,2025-09-01,21:09,Pemasukan,Minuman,3,20000,60000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000121,U002,P007,2025-02-12,16:55,Pemasukan,Sembako,2,18000,36000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000122,U005,P022,2025-06-27,18:16,Pemasukan,Laundry,8,10000,80000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000123,U003,P015,2026-06-08,13:28,Pengeluaran,Frozen Food,2,18000,36000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000124,U004,P018,2026-09-07,10:12,Pengeluaran,Bakery,4,15000,60000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000125,U004,P018,2026-05-09,17:18,Pemasukan,Bakery,3,15000,45000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000126,U001,P005,2024-04-19,21:53,Pemasukan,Snack,6,12000,72000,QRIS,Tidak Ada Event,Diskon 20%,Berhasil
T000127,U005,P022,2026-01-27,17:16,Pemasukan,Laundry,4,10000,40000,Transfer,Tidak Ada Event,Diskon 20%,Berhasil
T000128,U006,P026,2025-09-18,14:50,Pemasukan,Fashion,1,85000,85000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000129,U002,P008,2024-09-01,18:26,Pemasukan,Sembako,6,16000,96000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000130,U005,P023,2026-06-29,12:58,Pemasukan,Laundry,3,15000,45000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000131,U003,P011,2026-10-16,13:09,Pemasukan,Makanan,4,20000,80000,QRIS,Tidak Ada Event,Diskon 5%,Berhasil
T000132,U006,P030,2026-06-11,11:50,Pemasukan,Fashion,2,55000,110000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000133,U004,P018,2025-10-13,16:23,Pemasukan,Bakery,4,15000,60000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000134,U005,P023,2026-08-29,18:04,Pemasukan,Laundry,4,15000,60000,Cash,Tidak Ada Event,Diskon 5%,Berhasil
T000135,U006,P026,2026-06-23,10:02,Pemasukan,Fashion,1,85000,85000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000136,U002,P009,2024-12-03,12:42,Pengeluaran,Makanan,4,3500,14000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000137,U005,P024,2025-07-09,15:39,Pemasukan,Jasa Laundry,2,7000,14000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000138,U003,P014,2025-02-22,15:54,Pemasukan,Frozen Food,4,12000,48000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000139,U006,P026,2026-05-03,14:12,Pengeluaran,Fashion,2,85000,170000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000140,U002,P006,2024-04-13,10:08,Pemasukan,Sembako,6,75000,450000,QRIS,Lebaran,Harga Normal,Berhasil
T000141,U005,P025,2025-09-01,11:21,Pemasukan,Jasa Laundry,4,12000,48000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000142,U002,P010,2024-11-22,19:11,Pemasukan,Minuman,3,2500,7500,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000143,U003,P012,2026-10-01,17:01,Pemasukan,Makanan,5,18000,90000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000144,U004,P016,2026-03-23,13:28,Pemasukan,Bakery,1,12000,12000,Cash,Lebaran,Harga Normal,Berhasil
T000145,U004,P017,2026-02-28,17:50,Pemasukan,Bakery,1,8000,8000,Cash,Ramadan,Harga Normal,Berhasil
T000146,U004,P016,2026-07-21,13:54,Pemasukan,Bakery,1,12000,12000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000147,U006,P026,2026-07-29,15:38,Pemasukan,Fashion,1,85000,85000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000148,U006,P030,2026-12-21,16:38,Pemasukan,Fashion,2,55000,110000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000149,U004,P016,2025-01-10,12:28,Pemasukan,Bakery,2,12000,24000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000150,U004,P016,2025-11-30,12:20,Pemasukan,Bakery,3,12000,36000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000151,U004,P016,2024-12-08,07:27,Pemasukan,Bakery,1,12000,12000,Transfer,Tidak Ada Event,Harga Normal,Berhasil
T000152,U005,P025,2025-04-03,16:21,Pemasukan,Jasa Laundry,9,12000,108000,QRIS,Lebaran,Harga Normal,Berhasil
T000153,U004,P016,2026-10-09,15:19,Pemasukan,Bakery,3,12000,36000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000154,U002,P007,2026-11-13,12:54,Pemasukan,Sembako,2,18000,36000,QRIS,Tidak Ada Event,Diskon 15%,Berhasil
T000155,U005,P024,2025-09-20,17:39,Pemasukan,Jasa Laundry,9,7000,63000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000156,U006,P026,2026-01-29,14:44,Pemasukan,Fashion,1,85000,85000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000157,U002,P010,2024-12-19,08:09,Pemasukan,Minuman,4,2500,10000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000158,U005,P024,2025-09-09,15:21,Pemasukan,Jasa Laundry,7,7000,49000,QRIS,9.9 Sale,Diskon 10%,Berhasil
T000159,U005,P021,2026-10-04,10:10,Pemasukan,Laundry,1,12000,12000,QRIS,Tidak Ada Event,Diskon 5%,Berhasil
T000160,U003,P014,2025-10-11,21:28,Pemasukan,Frozen Food,4,12000,48000,QRIS,Tidak Ada Event,Diskon 15%,Berhasil
T000161,U001,P004,2025-12-16,20:43,Pemasukan,Bakery,1,18000,18000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000162,U003,P012,2024-08-30,21:03,Pemasukan,Makanan,4,18000,72000,QRIS,Tidak Ada Event,Harga Normal,Dibatalkan
T000163,U002,P008,2025-08-06,08:00,Pemasukan,Sembako,6,16000,96000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000164,U004,P017,2026-03-30,07:25,Pemasukan,Bakery,3,8000,24000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000165,U004,P018,2024-12-19,15:25,Pemasukan,Bakery,4,15000,60000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000166,U004,P018,2024-10-22,18:39,Pemasukan,Bakery,2,15000,30000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000167,U004,P017,2025-01-17,15:25,Pemasukan,Bakery,4,8000,32000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000168,U003,P013,2025-02-26,13:32,Pemasukan,Minuman,2,6000,12000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000169,U003,P012,2025-07-09,13:09,Pemasukan,Makanan,2,18000,36000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000170,U006,P027,2025-07-17,17:48,Pemasukan,Fashion,2,65000,130000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000171,U005,P025,2026-11-21,18:20,Pemasukan,Jasa Laundry,6,12000,72000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000172,U006,P028,2026-03-07,15:32,Pemasukan,Fashion,1,95000,95000,Cash,Ramadan,Harga Normal,Berhasil
T000173,U001,P003,2026-02-03,23:55,Pengeluaran,Minuman,1,20000,20000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000174,U005,P024,2026-03-01,16:50,Pemasukan,Jasa Laundry,10,7000,70000,QRIS,Ramadan,Harga Normal,Berhasil
T000175,U006,P028,2025-11-09,18:09,Pengeluaran,Fashion,2,95000,190000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000176,U006,P030,2025-07-26,10:15,Pemasukan,Fashion,1,55000,55000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000177,U005,P023,2025-07-13,12:24,Pemasukan,Laundry,6,15000,90000,QRIS,Tidak Ada Event,Diskon 5%,Berhasil
T000178,U001,P001,2025-11-25,18:35,Pemasukan,Minuman,3,18000,54000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000179,U006,P028,2025-10-01,19:42,Pemasukan,Fashion,1,95000,95000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000180,U006,P027,2026-06-06,14:35,Pemasukan,Fashion,1,65000,65000,QRIS,6.6 Sale,Harga Normal,Berhasil
T000181,U006,P026,2026-10-22,18:23,Pemasukan,Fashion,2,85000,170000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000182,U003,P014,2026-09-07,15:08,Pemasukan,Frozen Food,2,12000,24000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000183,U005,P021,2026-07-25,17:08,Pemasukan,Laundry,6,12000,72000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000184,U006,P029,2025-10-17,16:23,Pemasukan,Fashion,1,45000,45000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000185,U003,P014,2026-08-24,20:15,Pemasukan,Frozen Food,2,12000,24000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000186,U006,P029,2026-12-06,14:49,Pemasukan,Fashion,2,45000,90000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000187,U002,P008,2024-12-09,17:30,Pemasukan,Sembako,1,16000,16000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000188,U005,P023,2025-06-08,10:17,Pemasukan,Laundry,2,15000,30000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000189,U001,P004,2025-04-08,18:26,Pemasukan,Bakery,3,18000,54000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000190,U004,P018,2024-12-23,06:20,Pengeluaran,Bakery,2,15000,30000,Transfer,Tidak Ada Event,Diskon 5%,Berhasil
T000191,U002,P006,2024-12-07,20:30,Pemasukan,Sembako,5,75000,375000,QRIS,Tidak Ada Event,Diskon 15%,Berhasil
T000192,U004,P020,2026-01-03,07:01,Pemasukan,Minuman,1,18000,18000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000193,U005,P024,2026-07-26,12:15,Pemasukan,Jasa Laundry,2,7000,14000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000194,U006,P026,2026-08-12,17:38,Pemasukan,Fashion,1,85000,85000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000195,U002,P008,2024-12-20,07:39,Pemasukan,Sembako,7,16000,112000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000196,U006,P030,2025-07-27,11:33,Pemasukan,Fashion,2,55000,110000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000197,U004,P016,2026-01-25,11:16,Pemasukan,Bakery,4,12000,48000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
T000198,U002,P010,2024-09-29,09:02,Pemasukan,Minuman,3,2500,7500,QRIS,Tidak Ada Event,Diskon 5%,Berhasil
T000199,U006,P029,2026-08-19,12:04,Pemasukan,Fashion,1,45000,45000,Cash,Tidak Ada Event,Harga Normal,Berhasil
T000200,U002,P007,2024-05-29,12:59,Pemasukan,Sembako,1,18000,18000,QRIS,Tidak Ada Event,Harga Normal,Berhasil
